file	line	candidate	status	cover
blackmatrix-apple	11	DOMAIN-KEYWORD,apple-support.akadns.net	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	12	DOMAIN-KEYWORD,apple.com.akadns.net	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	13	DOMAIN-KEYWORD,apple.com.edgekey.net	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	14	DOMAIN-KEYWORD,buy.itunes.apple.com	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	15	DOMAIN-KEYWORD,smp-device	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	16	DOMAIN-KEYWORD,testflight	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	17	DOMAIN-KEYWORD,icloud.com.akadns.net	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	18	USER-AGENT,*FindMyiPhone?	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	19	USER-AGENT,*Music?	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	20	USER-AGENT,*WeatherFoundation*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	21	USER-AGENT,*com.apple.Maps?	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	22	USER-AGENT,*com.apple.mobileme.fmip1	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	23	USER-AGENT,FMDClient*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	24	USER-AGENT,FMFD*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	25	USER-AGENT,FindMyFriends*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	26	USER-AGENT,FindMyiPhone*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	27	USER-AGENT,Maps*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	28	USER-AGENT,Wallet*	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	29	USER-AGENT,com.apple.Maps	E: broad keyword/user-agent not identity evidence; not copied	
blackmatrix-apple	30	USER-AGENT,com.apple.appstored*	E: broad keyword/user-agent not identity evidence; not copied	
