host	category	first_rule
albert.apple.com	Device setup	DOMAIN-SUFFIX,apple.com,DIRECT
captive.apple.com	Device setup	DOMAIN-SUFFIX,apple.com,DIRECT
gs.apple.com	Device setup	DOMAIN-SUFFIX,apple.com,DIRECT
humb.apple.com	Device setup	DOMAIN-SUFFIX,apple.com,DIRECT
static.ips.apple.com	Device setup	DOMAIN-SUFFIX,apple.com,DIRECT
sq-device.apple.com	Device setup	DOMAIN-SUFFIX,apple.com,DIRECT
tbsc.apple.com	Device setup	DOMAIN-SUFFIX,apple.com,DIRECT
time-ios.apple.com	Device setup	DOMAIN-SUFFIX,apple.com,DIRECT
time.apple.com	Device setup	DOMAIN-SUFFIX,apple.com,DIRECT
time-macos.apple.com	Device setup	DOMAIN-SUFFIX,apple.com,DIRECT
*.push.apple.com	Device management	DOMAIN-SUFFIX,apple.com,DIRECT
deviceenrollment.apple.com	Device management	DOMAIN-SUFFIX,apple.com,DIRECT
deviceservices-external.apple.com	Device management	DOMAIN-SUFFIX,apple.com,DIRECT
gdmf.apple.com	Device management	DOMAIN-SUFFIX,apple.com,DIRECT
identity.apple.com	Device management	DOMAIN-SUFFIX,apple.com,DIRECT
iprofiles.apple.com	Device management	DOMAIN-SUFFIX,apple.com,DIRECT
mdmenrollment.apple.com	Device management	DOMAIN-SUFFIX,apple.com,DIRECT
setup.icloud.com	Device management	DOMAIN-SUFFIX,icloud.com,DIRECT
vpp.itunes.apple.com	Device management	DOMAIN-SUFFIX,apple.com,DIRECT
*.appattest.apple.com	Device management	DOMAIN-SUFFIX,apple.com,DIRECT
axm-servicediscovery.apple.com	Device management	DOMAIN-SUFFIX,apple.com,DIRECT
*.business.apple.com	Administrators and managers	DOMAIN-SUFFIX,apple.com,DIRECT
*.school.apple.com	Administrators and managers	DOMAIN-SUFFIX,apple.com,DIRECT
appleid.cdn-apple.com	Administrators and managers	DOMAIN-SUFFIX,cdn-apple.com,DIRECT
idmsa.apple.com	Administrators and managers	DOMAIN-SUFFIX,apple.com,DIRECT
*.itunes.apple.com	Administrators and managers	DOMAIN-SUFFIX,apple.com,DIRECT
*.mzstatic.com	Administrators and managers	DOMAIN-SUFFIX,mzstatic.com,DIRECT
api.ent.apple.com	Administrators and managers	DOMAIN-SUFFIX,apple.com,DIRECT
api.edu.apple.com	Administrators and managers	DOMAIN-SUFFIX,apple.com,DIRECT
statici.icloud.com	Administrators and managers	DOMAIN-SUFFIX,icloud.com,DIRECT
*.vertexsmb.com	Administrators and managers	DOMAIN-SUFFIX,vertexsmb.com,DIRECT
www.apple.com	Administrators and managers	DOMAIN-SUFFIX,apple.com,DIRECT
upload.appleschoolcontent.com	Administrators and managers	DOMAIN-SUFFIX,appleschoolcontent.com,DIRECT
api-business.apple.com	Administrators and managers	DOMAIN-SUFFIX,apple.com,DIRECT
api-school.apple.com	Administrators and managers	DOMAIN-SUFFIX,apple.com,DIRECT
ws-ee-maidsvc.icloud.com	Employees and students	DOMAIN-SUFFIX,icloud.com,DIRECT
axm-adm-enroll.apple.com	Apple Business device management	DOMAIN-SUFFIX,apple.com,DIRECT
axm-adm-mdm.apple.com	Apple Business device management	DOMAIN-SUFFIX,apple.com,DIRECT
axm-adm-scep.apple.com	Apple Business device management	DOMAIN-SUFFIX,apple.com,DIRECT
axm-app.apple.com	Apple Business device management	DOMAIN-SUFFIX,apple.com,DIRECT
*.apple-mapkit.com	Apple Business device management	DOMAIN-SUFFIX,apple-mapkit.com,DIRECT
icons.axm-usercontent-apple.com	Apple Business device management	DOMAIN-SUFFIX,axm-usercontent-apple.com,DIRECT
s.mzstatic.com	Classroom and Schoolwork	DOMAIN-SUFFIX,mzstatic.com,DIRECT
play.itunes.apple.com	Classroom and Schoolwork	DOMAIN-SUFFIX,apple.com,DIRECT
ws-ee-maidsvc.icloud.com	Classroom and Schoolwork	DOMAIN-SUFFIX,icloud.com,DIRECT
ws.school.apple.com	Classroom and Schoolwork	DOMAIN-SUFFIX,apple.com,DIRECT
pg-bootstrap.itunes.apple.com	Classroom and Schoolwork	DOMAIN-SUFFIX,apple.com,DIRECT
cls-iosclient.itunes.apple.com	Classroom and Schoolwork	DOMAIN-SUFFIX,apple.com,DIRECT
cls-ingest.itunes.apple.com	Classroom and Schoolwork	DOMAIN-SUFFIX,apple.com,DIRECT
appldnld.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
configuration.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
gdmf.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
gg.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
gs.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
ig.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
mesu.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
oscdn.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
osrecovery.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
skl.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
swcdn.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
swdist.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
swdownload.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
swscan.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
updates-http.cdn-apple.com	Software updates	DOMAIN-SUFFIX,cdn-apple.com,DIRECT
updates.cdn-apple.com	Software updates	DOMAIN-SUFFIX,cdn-apple.com,DIRECT
xp.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
gdmf-ados.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
gsra.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
wkms-public.apple.com	Software updates	DOMAIN-SUFFIX,apple.com,DIRECT
fcs-keys-pub-prod.cdn-apple.com	Software updates	DOMAIN-SUFFIX,cdn-apple.com,DIRECT
*.itunes.apple.com	Apps and additional content	DOMAIN-SUFFIX,apple.com,DIRECT
*.apps.apple.com	Apps and additional content	DOMAIN-SUFFIX,apple.com,DIRECT
*.mzstatic.com	Apps and additional content	DOMAIN-SUFFIX,mzstatic.com,DIRECT
itunes.apple.com	Apps and additional content	DOMAIN-SUFFIX,apple.com,DIRECT
ppq.apple.com	Apps and additional content	DOMAIN-SUFFIX,apple.com,DIRECT
api.apple-cloudkit.com	Apps and additional content	DOMAIN-SUFFIX,apple-cloudkit.com,DIRECT
